Cards  Players  Initializing Ciphertexts  Shuffle operation  Shuffle Argument (w/)     Shuffle Argument (w/out)  
52      2       2.4602955 s                  442.5422 ms         5.67 s                          2.822 s 
52      3       6.06 s                           333 ms          5.797 s                         2.62 s 
52      4       13.9899268 s                     415.7 ms        7.356 s                         5.17 s 
52      5       14.56 s                       314.69 ms          5.46 s                          2.44 s                 
52      10      55.26 s                         316.20 ms        5.788 s                         2.48 s 
52      15      2 m 13.75 s                     407.37 ms        6.77 s                          4.51 s 
100     2       5.37  s                         624.80 ms        11.14 s                         4.83 s 
100     3       10.94 s                         624.04 ms        10.94 s                         4.92 s 
100     4       19.59 s                         633.44 ms        11.37 s                         5.05 s 
100     5       29.30 s                         643.61 ms        11.28 s                         5.02 s 
100     10      1 m 53.78 s                     660.14 ms        11.31 s                         4.85 s 
100     15      4 m 11.89 s                     698.40 ms        11.66 s                         5.03 s 
1000    2       52.92 s                         6.43 s           1 m 39.93 s                     47.78 s 
1000    3       1 m 53.96 s                     6.23 s           1 m 40.79 s                     47.77 s 
1000    4       3 m 11.75 s                     6.41 s           1 m 39.89 s                     48.09 s 
1000    5       4 m 59.06 s                     6.27 s           1 m 40.63 s                     48.25 s 
1000    10      19 m 13.43 s                    6.80 s           1 m 48.76 s                     50.89 s 
1000    15      40 m 12.43 s                    6.09 s           1 m 36.29 s                     45.56 s 
10000   2       8 m 36.34 s                     1 m 4.47 s       19 m 24.82 s                    7 m 30.17 s 
100000  2       1 h 40 m 53.63 s                10 m 1.70 s      2 h 54 m 32 s                   1 h 16 m 10.49 s 
